Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4.29034E+12,1.37297E+13,2022-01-18T19:56:19-05:00,#1951,product,order,Online Store,,Canada,Ontario,Palgrave,Canada,Ontario,Palgrave,,DOGORA,Medical Snuggie,L,,1,41.24,-6.18,0,35.06,0,4.56,39.62
4.29034E+12,1.37297E+13,2022-01-18T19:56:19-05:00,#1951,shipping,order,Online Store,,Canada,Ontario,Palgrave,Canada,Ontario,Palgrave,,,,,,0,0,0,0,0,5.99,0.78,6.77
4.29178E+12,1.37343E+13,2022-01-19T09:45:31-05:00,#1952,product,order,Online Store,,Canada,Ontario,Owen Sound,Canada,Ontario,Owen Sound,,DOGORA,Clinic Order Medical Snuggie,M1,,1,15.99,0,0,15.99,0,2.08,18.07
4.29178E+12,1.37343E+13,2022-01-19T09:45:31-05:00,#1952,product,order,Online Store,,Canada,Ontario,Owen Sound,Canada,Ontario,Owen Sound,,DOGORA,Clinic Order Medical Snuggie,L,,5,103.25,0,0,103.25,0,13.42,116.67
4.29178E+12,1.37343E+13,2022-01-19T09:45:31-05:00,#1952,product,order,Online Store,,Canada,Ontario,Owen Sound,Canada,Ontario,Owen Sound,,DOGORA,Clinic Order Medical Snuggie,S,,1,13.65,0,0,13.65,0,1.77,15.42
4.29178E+12,1.37343E+13,2022-01-19T09:45:31-05:00,#1952,product,order,Online Store,,Canada,Ontario,Owen Sound,Canada,Ontario,Owen Sound,,DOGORA,Clinic Order Medical Snuggie,M2,,4,74.36,0,0,74.36,0,9.67,84.03
4.29178E+12,1.37343E+13,2022-01-19T09:45:31-05:00,#1952,product,order,Online Store,,Canada,Ontario,Owen Sound,Canada,Ontario,Owen Sound,,DOGORA,Clinic Order Medical Snuggie,XS,,1,11.99,0,0,11.99,0,1.56,13.55
4.29535E+12,1.37464E+13,2022-01-20T11:22:19-05:00,#1953,product,order,Online Store,,Canada,Ontario,Severn,Canada,Ontario,Severn,,DOGORA,Clinic Order Medical Snuggie,M1,,2,31.98,0,0,31.98,0,4.16,36.14
4.29535E+12,1.37464E+13,2022-01-20T11:22:19-05:00,#1953,product,order,Online Store,,Canada,Ontario,Severn,Canada,Ontario,Severn,,DOGORA,Clinic Order Medical Snuggie,L,,4,82.6,0,0,82.6,0,10.74,93.34
4.29535E+12,1.37464E+13,2022-01-20T11:22:19-05:00,#1953,product,order,Online Store,,Canada,Ontario,Severn,Canada,Ontario,Severn,,DOGORA,Clinic Order Medical Snuggie,M2,,4,74.36,0,0,74.36,0,9.67,84.03
4.29535E+12,1.37464E+13,2022-01-20T11:22:19-05:00,#1953,product,order,Online Store,,Canada,Ontario,Severn,Canada,Ontario,Severn,,DOGORA,Clinic Order Medical Snuggie,XL,,1,22.6,0,0,22.6,0,2.94,25.54
4.29553E+12,1.3747E+13,2022-01-20T13:20:57-05:00,#1954,product,order,Online Store,,Canada,Ontario,Osgoode,Canada,Ontario,Kanata,Clothing,DOGORA,DOGORA™ Clinic Starter Kit,Starter Kit,,1,150,0,0,150,0,19.5,169.5
4.29604E+12,1.37487E+13,2022-01-20T19:26:08-05:00,#1955,product,order,Online Store,,Canada,British Columbia,Nanaimo,Canada,British Columbia,Nanaimo,,DOGORA,Clinic Order Medical Snuggie,L,,4,82.6,0,0,82.6,0,4.13,86.73
4.29604E+12,1.37487E+13,2022-01-20T19:26:08-05:00,#1955,product,order,Online Store,,Canada,British Columbia,Nanaimo,Canada,British Columbia,Nanaimo,,DOGORA,Clinic Order Medical Snuggie,XS,,4,47.96,0,0,47.96,0,2.4,50.36
4.29604E+12,1.37487E+13,2022-01-20T19:26:08-05:00,#1955,product,order,Online Store,,Canada,British Columbia,Nanaimo,Canada,British Columbia,Nanaimo,,DOGORA,Medical Snuggie,L,,3,123.72,0,0,123.72,0,6.19,129.91
4.29604E+12,1.37487E+13,2022-01-20T19:26:08-05:00,#1955,product,order,Online Store,,Canada,British Columbia,Nanaimo,Canada,British Columbia,Nanaimo,,DOGORA,Clinic Order Medical Snuggie,S,,6,81.9,0,0,81.9,0,4.1,86
4.29732E+12,1.37528E+13,2022-01-21T15:47:26-05:00,#1956,product,order,Online Store,,Canada,Quebec,Montréal,Canada,Quebec,Montréal,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.99,0,0,205.99,0,10.3,216.29
4.29765E+12,1.37539E+13,2022-01-21T20:01:35-05:00,#1957,product,order,Online Store,,Canada,British Columbia,Fort Langley,Canada,British Columbia,Fort Langley,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,-36.59,0,146.4,0,7.32,153.72
4.2983E+12,1.37559E+13,2022-01-22T10:46:29-05:00,#1958,product,order,Online Store,,Canada,Quebec,Boucherville,Canada,Quebec,Boucherville,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.99,0,0,205.99,0,10.3,216.29
4.29855E+12,1.37567E+13,2022-01-22T14:48:12-05:00,#1959,product,order,Online Store,,Canada,Ontario,Fort Frances,Canada,Ontario,Fort Frances,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,0,0,182.99,0,23.79,206.78
4.30108E+12,1.37643E+13,2022-01-24T14:48:00-05:00,#1960,product,order,Online Store,,Canada,Ontario,Cambridge,Canada,Ontario,Cambridge,,DOGORA,Clinic Order Medical Snuggie,L,,3,61.95,0,0,61.95,0,8.05,70
4.30108E+12,1.37643E+13,2022-01-24T14:48:00-05:00,#1960,product,order,Online Store,,Canada,Ontario,Cambridge,Canada,Ontario,Cambridge,,DOGORA,Clinic Order Medical Snuggie,S,,10,136.5,0,0,136.5,0,17.75,154.25
4.30108E+12,1.37643E+13,2022-01-24T14:48:00-05:00,#1960,product,order,Online Store,,Canada,Ontario,Cambridge,Canada,Ontario,Cambridge,,DOGORA,Clinic Order Medical Snuggie,XL,,3,67.8,0,0,67.8,0,8.81,76.61
4.30108E+12,1.37643E+13,2022-01-24T14:48:00-05:00,#1960,product,order,Online Store,,Canada,Ontario,Cambridge,Canada,Ontario,Cambridge,,DOGORA,Clinic Order Medical Snuggie,M2,,5,92.95,0,0,92.95,0,12.08,105.03
4.30108E+12,1.37643E+13,2022-01-24T14:48:00-05:00,#1960,product,order,Online Store,,Canada,Ontario,Cambridge,Canada,Ontario,Cambridge,,DOGORA,Clinic Order Medical Snuggie,XS,,6,71.94,0,0,71.94,0,9.35,81.29
4.30114E+12,1.37645E+13,2022-01-24T15:38:20-05:00,#1961,product,order,Online Store,,Canada,Ontario,Wasaga Beach,Canada,Ontario,Wasaga Beach,Clothing,DOGORA,DOGORA™ Clinic Starter Kit,Starter Kit,,1,150,0,0,150,0,19.5,169.5
4.30129E+12,1.37651E+13,2022-01-24T17:47:55-05:00,#1962,product,order,Online Store,,Canada,Ontario,Fonthill,Canada,Ontario,Fonthill,,DOGORA,Clinic Order Medical Snuggie,S,,6,81.9,0,0,81.9,0,10.65,92.55
